(No column name),currentdate
163,2018-02-04 16:00:00.627
204,2018-02-03 16:00:00.550
219,2018-02-02 16:00:00.430
276,2018-02-01 16:00:00.333
151,2018-01-31 16:00:00.640
199,2018-01-30 16:00:00.973
142,2018-01-29 16:00:00.090
192,2018-01-28 16:00:00.663
222,2018-01-27 16:00:00.377
225,2018-01-26 16:00:00.383
188,2018-01-25 16:00:00.280
164,2018-01-24 16:00:00.460
214,2018-01-23 16:00:00.857
149,2018-01-22 16:00:00.617
230,2018-01-21 16:00:00.980
414,2018-01-20 16:00:00.903
176,2018-01-19 16:00:00.437
176,2018-01-19 16:00:00.437
NULL,2018-01-18 16:00:00.900
NULL,2018-01-17 16:00:00.197
118,2018-01-16 16:00:00.440
72,2018-01-15 16:00:00.510
57,2018-01-14 16:00:00.200
14,2018-01-13 16:00:00.800
146,2018-01-12 16:00:00.183
159,2018-01-11 16:00:00.710
198,2018-01-10 16:00:00.500
206,2018-01-09 16:00:00.993
135,2018-01-08 16:00:00.093
120,2018-01-07 16:00:00.263
136,2018-01-06 16:00:00.337
692,2018-01-05 17:08:49.027
692,2018-01-05 16:49:29.203
NULL,2018-01-05 16:04:31.640
NULL,2018-01-05 16:00:00.137
115,2018-01-04 16:00:00.480
165,2018-01-03 16:00:00.973
109,2018-01-02 16:00:00.067
161,2018-01-01 16:00:00.193
154,2017-12-31 16:00:00.637
165,2017-12-30 16:00:00.573
120,2017-12-29 16:00:00.637
168,2017-12-28 16:00:00.150
170,2017-12-27 16:00:00.770
121,2017-12-26 16:00:00.410
121,2017-12-25 16:00:00.783
111,2017-12-24 16:00:00.200
155,2017-12-23 16:00:00.143
169,2017-12-22 16:00:00.393
164,2017-12-21 16:00:00.803
190,2017-12-20 16:00:00.937
241,2017-12-19 16:00:00.963
178,2017-12-18 16:00:00.463
170,2017-12-17 16:00:00.153
271,2017-12-16 16:00:00.270
206,2017-12-15 16:00:00.507
216,2017-12-14 16:00:00.193
226,2017-12-13 16:00:00.527
NULL,2017-12-12 16:00:00.797
182,2017-12-11 16:00:00.473
185,2017-12-10 16:00:00.300
345,2017-12-09 16:00:00.653
187,2017-12-08 16:00:00.213
192,2017-12-07 16:00:00.037
263,2017-12-06 16:00:00.437
316,2017-12-05 16:00:00.907
212,2017-12-04 16:00:00.937
236,2017-12-03 16:00:00.043
272,2017-12-02 16:00:00.283
NULL,2017-12-01 20:38:18.053
NULL,2017-12-01 16:00:00.730
NULL,2017-12-01 15:03:48.890
313,2017-11-30 16:00:00.813
465,2017-11-29 16:00:00.220
NULL,2017-11-28 16:00:00.163
431,2017-11-27 16:00:00.847
441,2017-11-26 16:00:00.303
NULL,2017-11-25 16:00:00.700
283,2017-11-24 16:00:00.163
273,2017-11-23 16:00:00.663
340,2017-11-22 16:00:00.660
322,2017-11-21 16:00:00.403
285,2017-11-20 16:00:00.387
NULL,2017-11-19 16:00:01.000
322,2017-11-18 16:00:00.180
311,2017-11-17 16:00:00.803
328,2017-11-16 16:00:00.843
253,2017-11-15 16:00:00.023
315,2017-11-14 16:00:00.677
210,2017-11-13 16:00:00.450
213,2017-11-12 16:00:00.813
247,2017-11-11 16:00:00.780
289,2017-11-10 16:00:00.323
301,2017-11-09 16:00:00.660
317,2017-11-08 16:00:00.203
317,2017-11-08 14:29:54.020
470,2017-11-07 16:00:00.140
251,2017-11-06 16:00:00.617
301,2017-11-05 16:00:00.207
452,2017-11-04 16:00:01.003
349,2017-11-03 16:00:00.413
293,2017-11-02 16:00:00.423
NULL,2017-11-01 16:00:00.080
297,2017-10-31 16:00:00.213
259,2017-10-30 16:00:00.980
243,2017-10-29 16:00:00.850
287,2017-10-28 16:00:00.727
606,2017-10-27 16:33:30.760
606,2017-10-27 16:30:11.580
606,2017-10-27 16:11:36.710
606,2017-10-27 16:09:45.607
606,2017-10-27 16:00:00.490
606,2017-10-27 15:43:56.107
NULL,2017-10-27 15:27:56.863
NULL,2017-10-27 15:04:19.830
NULL,2017-10-27 15:03:42.353
NULL,2017-10-27 14:49:54.583
NULL,2017-10-27 14:47:58.157
NULL,2017-10-27 14:47:36.307
NULL,2017-10-27 14:44:03.220
NULL,2017-10-27 14:42:44.800
NULL,2017-10-27 14:41:06.640
NULL,2017-10-27 14:41:06.640
NULL,2017-10-27 14:41:06.640
NULL,2017-10-27 14:41:06.640
442,2017-10-26 16:00:00.380
388,2017-10-25 16:33:14.313
388,2017-10-25 15:00:04.657
388,2017-10-25 14:54:43.660
388,2017-10-25 14:52:28.790
388,2017-10-25 14:35:38.627
388,2017-10-25 14:34:13.360
388,2017-10-25 14:32:47.887
388,2017-10-25 14:32:31.340
388,2017-10-25 14:29:37.573
388,2017-10-25 14:20:53.627
388,2017-10-25 14:08:57.637
388,2017-10-25 14:08:16.047
388,2017-10-25 14:07:44.787
388,2017-10-25 14:06:35.820
388,2017-10-25 14:06:14.383
388,2017-10-25 14:05:45.353
388,2017-10-25 14:05:33.443
388,2017-10-25 14:03:40.873
388,2017-10-25 14:01:47.387
279,2017-10-24 16:00:00.737
225,2017-10-23 16:00:00.370
223,2017-10-22 16:00:00.280
NULL,2017-10-21 16:00:00.783
291,2017-10-20 16:00:00.293
286,2017-10-19 16:24:34.580
286,2017-10-19 16:00:00.747
286,2017-10-19 15:53:32.350
286,2017-10-19 15:21:21.010
286,2017-10-19 15:18:19.627
286,2017-10-19 15:16:54.120
286,2017-10-19 15:13:58.023
286,2017-10-19 15:07:56.470
286,2017-10-19 14:58:11.333
286,2017-10-19 14:57:27.763
286,2017-10-19 14:36:46.003
286,2017-10-19 14:29:58.363
286,2017-10-19 14:15:42.307
286,2017-10-19 14:12:30.117
284,2017-10-18 16:00:00.730
296,2017-10-17 16:00:00.700
240,2017-10-16 16:00:00.707
253,2017-10-15 16:00:00.917
283,2017-10-14 16:00:00.333
257,2017-10-13 16:00:00.017
366,2017-10-12 16:00:00.140
222,2017-10-11 16:00:00.567
256,2017-10-10 16:00:00.613
218,2017-10-09 16:00:00.017
196,2017-10-08 16:00:00.520
NULL,2017-10-07 16:00:00.177
238,2017-10-06 16:00:00.677
271,2017-10-05 16:00:00.267
95,2017-10-04 16:00:00.243
388,2017-10-03 16:00:00.103
275,2017-10-02 16:00:00.607
NULL,2017-10-01 18:52:56.803
NULL,2017-10-01 16:00:00.120
368,2017-09-30 16:00:00.140
423,2017-09-29 16:00:00.467
126,2017-09-14 17:01:54.480
126,2017-09-14 16:52:34.487
126,2017-09-14 16:42:13.263
126,2017-09-14 16:40:31.873
126,2017-09-14 16:31:43.243
126,2017-09-14 16:26:51.770
126,2017-09-14 15:46:39.140
NULL,2017-08-10 15:25:22.357
